,Unnamed: 0_x,Reporter Identifier,p,fold_change,abs_change,Rejection on 0.05,qval,Unnamed: 0_y,UCSC_RefGene_Name,Name,cluster
932,18211,cg18984151,6.383227361816054e-07,2.216977507766954,0.075313365,True,9.078177247994922e-06,17742.0,elongator acetyltransferase complex subunit 6,cg18984151,1
962,18824,cg19615059,3.518842428393608e-18,2.586658985008878,0.23354105,True,1.4111091295802066e-15,18328.0,transient receptor potential cation channel subfamily V member 4,cg19615059,1
971,18929,cg19731268,4.207258439930668e-10,2.1994576077377324,0.12029466500000002,True,1.604517422617363e-08,18422.0,carbohydrate sulfotransferase 3,cg19731268,1
976,19120,cg19921353,1.8239431608760923e-11,2.70088858567364,0.18212205,True,1.0609737063496163e-09,18605.0,"major histocompatibility complex, class II, DP beta 1",cg19921353,0
979,19206,cg20019546,4.745742667838275e-11,2.7057609107931646,0.06253304999999999,True,2.434216495923946e-09,,,,1
980,19216,cg20029201,7.384319593411825e-13,2.3270102089513127,0.177267,True,6.032123045642924e-11,18699.0,BCL9 like,cg20029201,0
983,19262,cg20083676,1.7748653010398716e-13,2.2523863425477,0.17984725000000004,True,1.7726550914197087e-11,18742.0,sphingosine-1-phosphate receptor 3,cg20083676,1
1001,19689,cg20557202,1.8731706700211228e-11,3.2990384426000268,0.2918158,True,1.0848404403380537e-09,19164.0,solute carrier family 5 member 5,cg20557202,1
1014,19866,cg20744464,1.0417460138459324e-16,2.8831419037371084,0.3115131,True,2.6768826940252712e-14,19341.0,melanotransferrin,cg20744464,1
1033,20190,cg21062347,8.700861121766465e-10,2.0251968384994727,0.17645770000000002,True,3.022121933199383e-08,19659.0,solute carrier family 22 member 8,cg21062347,1
1036,20275,cg21145624,9.381105533421095e-25,2.7046740706164645,0.26257929999999996,True,2.257179274118692e-21,19743.0,Meis homeobox 3,cg21145624,1
1044,20384,cg21250978,5.534483554851261e-14,2.3234653767385773,0.105184085,True,6.628107522454675e-12,19844.0,protein kinase cAMP-dependent type II regulatory subunit beta,cg21250978,0
1056,20564,cg21429500,1.0996106122512692e-14,2.5491045124243694,0.055789295,True,1.590349402975647e-12,20023.0,leucine aminopeptidase 3,cg21429500,1
1064,20707,cg21572316,7.819108692632114e-08,2.4327905710812585,0.05532695,True,1.488837048689886e-06,20166.0,ATP binding cassette subfamily A member 1,cg21572316,1
1065,20724,cg21589115,8.972098504162162e-12,2.0532458824912103,0.050857215,True,5.535303755469928e-10,20183.0,dickkopf like acrosomal protein 1,cg21589115,1
1068,20775,cg21633698,1.3919639251990485e-13,2.8459786168098744,0.32977485,True,1.4460332386227941e-11,20232.0,Thy-1 cell surface antigen,cg21633698,0
1075,20913,cg21784940,1.82228131396356e-09,2.2183792510604605,0.12557639999999998,True,5.6875376812115025e-08,20366.0,replication initiator 1,cg21784940,0
1078,20960,cg21838334,2.271459818635146e-16,2.17782318076305,0.20049925,True,5.273572545597931e-14,20412.0,nestin,cg21838334,1
1080,20996,cg21880328,2.6317767964630212e-14,2.031173800713286,0.13775754999999998,True,3.3488094457685954e-12,20447.0,cortactin binding protein 2,cg21880328,0
1095,21162,cg22061523,2.2274392032383183e-14,2.036044867262325,0.11927135,True,2.9095045407553336e-12,20605.0,thymidine kinase 1,cg22061523,0
1101,21334,cg22228205,1.6469923713067292e-12,2.0076545475442886,0.044317699999999995,True,1.217624220429475e-10,20769.0,DDHD domain containing 1,cg22228205,1
1113,21815,cg22757447,9.452519409612064e-24,2.4188051050657275,0.06497404500000001,True,1.92446024010925e-20,21237.0,impact RWD domain protein,cg22757447,1
1162,22721,cg23696886,6.241499550067107e-19,2.4964572674046948,0.3283224999999999,True,3.116863558332568e-16,22116.0,PDZ and LIM domain 2,cg23696886,0
1176,22958,cg23941599,4.173357205487973e-19,2.049877991904992,0.12606305,True,2.254209084850004e-16,22344.0,fem-1 homolog C,cg23941599,1
1194,23203,cg24208206,1.737230437847905e-14,2.4283005272521354,0.24302005,True,2.3643029314976855e-12,22579.0,FYVE and coiled-coil domain containing 1,cg24208206,1
1196,23305,cg24322623,5.638018601205338e-20,2.7272050235666008,0.32445650000000004,True,3.4702660073977136e-17,22677.0,myogenic differentiation 1,cg24322623,1
1204,23421,cg24429836,3.324889710698312e-17,3.5295033724602023,0.188169895,True,1.0602392285909905e-14,22792.0,lactate dehydrogenase D,cg24429836,0
1259,24443,cg25462291,4.1336793295974235e-09,2.388586960807529,0.12326005999999998,True,1.178944944142834e-07,23791.0,hes related family bHLH transcription factor with YRPW motif like,cg25462291,1
1260,24493,cg25505610,2.995005739118923e-22,2.75601512701296,0.02643017,True,3.3028673707191893e-19,23843.0,eukaryotic translation initiation factor 3 subunit M,cg25505610,1
1262,24505,cg25514503,1.1139823785414134e-09,2.1252147775516685,0.26286570000000004,True,3.708650517340325e-08,23855.0,period circadian regulator 3,cg25514503,0
1277,24747,cg25787984,6.1457437034521475e-12,2.43941791600318,0.2614219,True,3.9770024107400486e-10,24090.0,dickkopf WNT signaling pathway inhibitor 3,cg25787984,0
1291,25050,cg26113512,9.306272537087808e-17,4.500924319306575,0.22518999,True,2.4630911523910303e-14,24381.0,villin like,cg26113512,1
1292,25062,cg26128092,9.433170288792157e-13,2.7306968787660915,0.12992977499999994,True,7.542831360527554e-11,24394.0,"WD repeat containing, antisense to TP73",cg26128092,1
1298,25226,cg26284390,4.235740219272343e-15,2.412254572932629,0.16726954999999996,True,6.835813194114702e-13,24557.0,NFKB inhibitor zeta,cg26284390,1
1300,25294,cg26363196,1.71063252566165e-12,2.153039354324413,0.047059785000000014,True,1.2576475293524136e-10,24625.0,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",cg26363196,1
1302,25318,cg26388152,2.6047972013298938e-14,2.0253056292624767,0.11472360000000005,True,3.3304911849081307e-12,24647.0,coronin 6,cg26388152,1
1315,25625,cg26728422,1.884964861457574e-12,2.1595343453167715,0.17654925,True,1.3781592538176137e-10,24951.0,unk like zinc finger,cg26728422,0
1319,25691,cg26790059,1.1720176335849335e-15,2.6315642414779994,0.3208683999999999,True,2.297762274673514e-13,25016.0,fibronectin type III domain containing 9,cg26790059,0
1337,26061,cg27210390,3.2488824043126997e-16,2.468245846728622,0.20058470000000003,True,7.28713310126646e-14,25384.0,target of myb1 like 1 membrane trafficking protein,cg27210390,0
1339,26091,cg27243140,7.479794509609284e-17,2.295031318311243,0.21303835000000004,True,2.0621637633940513e-14,25415.0,otopetrin 3,cg27243140,1
1348,26257,cg27426707,6.741156235432295e-29,3.0428083588495127,0.2604597,True,4.460454552079664e-25,,,,1
1352,26318,cg27494383,1.4788668435455349e-12,2.5512987864037098,0.07054493999999999,True,1.1025681337498499e-10,25638.0,leukocyte receptor tyrosine kinase,cg27494383,1
1354,26341,cg27519140,6.480826019668245e-14,2.0474368245420203,0.24203614999999995,True,7.65750099386426e-12,25661.0,ribonuclease P/MRP subunit p21,cg27519140,0
1355,26348,cg27529628,2.772343044994771e-31,3.3910001028222467,0.06685445500000001,True,7.33756033718766e-27,25669.0,growth arrest specific 2 like 3,cg27529628,1
1356,26350,cg27532722,4.771965462850153e-11,2.0472577824940674,0.09843776499999997,True,2.4425147355162415e-09,25671.0,matrix metallopeptidase 11,cg27532722,0
1359,26443,cg27635271,7.92417137789068e-25,2.34506882789016,0.35878069999999995,True,2.0972904385863265e-21,25765.0,sorting nexin 33,cg27635271,0
