,Unnamed: 0_x,Reporter Identifier,p,fold_change,Rejection on 0.05,qval,Unnamed: 0_y,UCSC_RefGene_Name,Name,cluster
363,7165,cg07215749,2.055902846125987e-23,2.7592756606685143,True,3.5887627249914826e-20,,,,2
370,7307,cg07360076,2.3602567014588856e-18,3.308669850673972,True,1.0132877051450677e-15,6829.0,fibroblast growth factor receptor 3,cg07360076,3
374,7384,cg07446846,0.026213308750763904,2.05622365581819,True,0.04779186574389009,6899.0,solute carrier family 6 member 8,cg07446846,2
384,7640,cg07703401,6.799542195330368e-14,2.1952992571209617,True,7.94996686633605e-12,7134.0,hemoglobin subunit theta 1,cg07703401,2
392,7818,cg07895149,2.367063678781249e-10,2.125828526231948,True,9.678190719969285e-09,7303.0,calcium homeostasis modulator family member 2,cg07895149,3
400,7939,cg08009328,8.339284037763448e-09,2.3377690606779766,True,2.1294625299404133e-07,7420.0,H2B clustered histone 7,cg08009328,2
412,8136,cg08216808,2.4429606067467575e-10,2.146603330752717,True,9.944116389773912e-09,7609.0,actin related protein 2/3 complex subunit 2,cg08216808,1
417,8283,cg08370996,2.2526025924945603e-16,2.6717681236098314,True,5.289036438713497e-14,7745.0,nuclear receptor subfamily 2 group F member 2,cg08370996,2
426,8461,cg08557686,3.969825613945435e-08,2.012858120228959,True,8.061709428585719e-07,7915.0,reticulon 4 receptor,cg08557686,0
444,8816,cg08900043,2.003509912465576e-09,2.063688204491496,True,6.143798923538411e-08,8246.0,homeobox C10,cg08900043,2
448,8856,cg08948050,2.129415882878885e-14,2.4050419939558942,True,2.8264652559410748e-12,8285.0,solute carrier family 35 member A4,cg08948050,1
479,9356,cg09462576,1.9529935009289226e-11,2.492216031392187,True,1.1249570111430415e-09,8763.0,mitochondrial ribosomal protein L55,cg09462576,1
486,9493,cg09595479,9.688625907688328e-17,2.239501494186147,True,2.5596604369196586e-14,8893.0,peripherin,cg09595479,3
489,9562,cg09660171,0.0006284450969756539,2.102972540733121,True,0.0025540015855522323,8955.0,LIM homeobox transcription factor 1 beta,cg09660171,2
499,9831,cg09949775,6.662319461011853e-17,2.135910919896065,True,1.867896831742466e-14,9209.0,cartilage oligomeric matrix protein,cg09949775,3
505,9889,cg10014293,1.1644167966865582e-08,2.180673496486356,True,2.8163306255070313e-07,9264.0,metallothionein 1H,cg10014293,2
516,10114,cg10235817,3.005021362661226e-10,2.355323673157016,True,1.1845906307098974e-08,9469.0,adrenoceptor alpha 2C,cg10235817,2
517,10164,cg10281770,0.00022672818894705165,2.0216630984858868,True,0.0011443026670663466,9515.0,WD repeat domain 45B,cg10281770,1
530,10388,cg10519140,6.5500216471876595e-21,2.5978931475921754,True,4.864010669679138e-18,9730.0,solute carrier family 29 member 1 (Augustine blood group),cg10519140,3
531,10393,cg10523019,1.4514064486637178e-22,2.751776499710588,True,1.6616184826451795e-19,9735.0,rhomboid domain containing 1,cg10523019,2
546,10697,cg10848367,3.718015453040595e-19,2.6339075196780626,True,2.0431238517548677e-16,10022.0,secretoglobin family 1D member 2,cg10848367,1
559,10939,cg11063988,1.1141474179612782e-16,3.036644521046536,True,2.8609639678415026e-14,10250.0,SIX homeobox 5,cg11063988,2
597,11675,cg11787828,1.091383944564154e-08,2.078717794986284,True,2.6702462387217003e-07,10941.0,NADH:ubiquinone oxidoreductase complex assembly factor 4,cg11787828,0
608,11837,cg11932564,1.552344012653185e-27,5.252685838771544,True,7.108700681943152e-24,11088.0,TNF receptor superfamily member 13C,cg11932564,2
622,12227,cg12356261,3.198949686999127e-08,2.4391114978481565,True,6.683980349808974e-07,11445.0,nestin,cg12356261,3
623,12239,cg12373771,4.574140071440202e-16,2.0442571735837887,True,1.0135409080878306e-13,11456.0,transmembrane protein 121B,cg12373771,2
681,13340,cg13460409,6.128519180132458e-22,3.4125701399765327,True,6.236562703456274e-19,12492.0,ripply transcriptional repressor 3,cg13460409,2
716,14096,cg14175438,2.562699969655417e-08,2.145615826637622,True,5.513918901037764e-07,13198.0,family with sequence similarity 3 member C,cg14175438,1
719,14183,cg14265075,6.050607202546702e-13,3.8275519570162064,True,5.131064305468308e-11,13283.0,Rho guanine nucleotide exchange factor 11,cg14265075,1
729,14358,cg14424579,1.3908657313419347e-15,2.7381239992381867,True,2.5996889002959865e-13,13449.0,ATP/GTP binding protein like 5,cg14424579,2
731,14381,cg14446712,5.1924336197855916e-30,2.4401063872153714,True,7.133365306861445e-26,13472.0,caveolae associated protein 2,cg14446712,3
733,14419,cg14473016,8.72465165445161e-12,2.443952170819041,True,5.411253473086059e-10,13508.0,RASD family member 2,cg14473016,1
758,14815,cg14870271,4.644176715141182e-16,2.185938119194752,True,1.020827195401753e-13,13884.0,galectin 3 binding protein,cg14870271,2
760,14843,cg14896516,2.2791375639059786e-12,2.046275406737229,True,1.6393084739759336e-10,13911.0,corticotropin releasing hormone receptor 2,cg14896516,2
764,14948,cg15006396,2.2384798653676166e-13,2.2475291655237997,True,2.1656504500296e-11,14011.0,NFKB inhibitor zeta,cg15006396,3
775,15135,cg15201877,3.439355888650329e-10,2.4053409563822234,True,1.3328595542532641e-08,,,,2
797,15588,cg15633390,4.102980787907788e-13,2.130135341137081,True,3.648333337493669e-11,14611.0,eukaryotic translation initiation factor 4E,cg15633390,1
800,15660,cg15696627,6.16416467945025e-17,2.0513270476800947,True,1.782806197185001e-14,14680.0,msh homeobox 1,cg15696627,2
810,15773,cg15784332,9.129270612888826e-10,2.1475461255633417,True,3.119848748255391e-08,14785.0,cartilage oligomeric matrix protein,cg15784332,3
814,15888,cg15878317,1.7865989264261734e-07,2.179467253917141,True,2.9786767052479092e-06,14897.0,nicotinamide nucleotide adenylyltransferase 3,cg15878317,3
821,16062,cg16042149,2.7438597066780496e-15,2.2096611672002853,True,4.692102909846346e-13,15065.0,neurofilament heavy,cg16042149,3
823,16116,cg16109297,6.508221300011418e-08,2.2044455162988856,True,1.2443972751504088e-06,15115.0,cell division cycle 20,cg16109297,0
840,16417,cg16408394,6.357371319886964e-10,3.455052473202215,True,2.310517650598072e-08,15402.0,retinoid X receptor alpha,cg16408394,1
850,16657,cg16670497,1.0987575807203108e-12,3.154470798895641,True,8.600986691701214e-11,15623.0,glutathione S-transferase mu 2,cg16670497,3
864,16870,cg16899442,4.720826849926715e-15,2.041645702824054,True,7.585347282373475e-13,,,,1
873,17124,cg17166812,1.1036632080572152e-21,2.5234504545412264,True,1.0456638036062084e-18,16064.0,NADH:ubiquinone oxidoreductase core subunit S2,cg17166812,3
878,17160,cg17192247,9.534869845563291e-14,2.8768327017415998,True,1.0563713059544233e-11,16099.0,microtubule associated protein RP/EB family member 3,cg17192247,1
880,17196,cg17237813,7.186155640425235e-23,2.293658394098727,True,8.974855108014716e-20,16129.0,tubulin tyrosine ligase like 7,cg17237813,1
888,17497,cg17547792,5.359337122263333e-10,2.122214796413755,True,1.9818727694657784e-08,16412.0,G protein-coupled estrogen receptor 1,cg17547792,2
896,17625,cg17693957,4.3415924320683665e-10,2.00811788273144,True,1.640847230584738e-08,16534.0,transcobalamin 2,cg17693957,2
897,17642,cg17706173,3.0052246927809486e-18,3.3882579910034223,True,1.2510841463462022e-15,16551.0,transmembrane protein 204,cg17706173,1
918,17904,cg17950095,1.430238296340361e-05,2.0393641007932235,True,0.0001226122540725359,16798.0,homeobox A11,cg17950095,2
922,17954,cg18008766,8.847798719822002e-15,2.6956703328455154,True,1.3284268722722914e-12,16845.0,serine and arginine rich splicing factor 7,cg18008766,2
925,18043,cg18108623,6.623492054755101e-10,2.0029063840591057,True,2.3851516080793075e-08,16932.0,schlafen family member 11,cg18108623,2
940,18325,cg18393722,6.586460165811706e-05,2.1160833633849734,True,0.00041939647628236955,,,,0
945,18392,cg18454685,8.519392239506407e-20,4.326192235711069,True,5.0886700254930006e-17,17265.0,calcium voltage-gated channel subunit alpha1 G,cg18454685,2
946,18411,cg18473117,2.3975465333846546e-05,2.2302328353839465,True,0.0001853346645402144,17283.0,coiled-coil domain containing 22,cg18473117,2
950,18489,cg18555440,1.749845577315391e-21,2.3282403098735096,True,1.5024611588224275e-18,17356.0,myogenic differentiation 1,cg18555440,3
953,18524,cg18592174,1.9468910812164333e-07,2.3452027585985067,True,3.2166433762779747e-06,17388.0,choline O-acetyltransferase,cg18592174,3
965,18769,cg18855178,3.176777449417129e-07,2.039939401957468,True,4.897518992538516e-06,17620.0,proprotein convertase subtilisin/kexin type 4,cg18855178,2
970,18872,cg18958531,5.2526031004210366e-09,2.058155040076725,True,1.4280195483431284e-07,17719.0,perilipin 3,cg18958531,2
971,18898,cg18984151,6.383227361816054e-07,2.216977507766954,True,8.857856312790804e-06,17742.0,elongator acetyltransferase complex subunit 6,cg18984151,2
1001,19529,cg19615059,3.518842428393608e-18,2.586658985008878,True,1.4218193318020997e-15,18328.0,transient receptor potential cation channel subfamily V member 4,cg19615059,3
1010,19634,cg19731268,4.207258439930668e-10,2.1994576077377324,True,1.598874590532988e-08,18422.0,carbohydrate sulfotransferase 3,cg19731268,3
1015,19832,cg19921353,1.8239431608760923e-11,2.70088858567364,True,1.0617513196659219e-09,18605.0,"major histocompatibility complex, class II, DP beta 1",cg19921353,1
1018,19922,cg20019546,4.745742667838275e-11,2.7057609107931646,True,2.437271505449055e-09,,,,2
1019,19933,cg20029201,7.384319593411825e-13,2.3270102089513127,True,6.056464631300994e-11,18699.0,BCL9 like,cg20029201,1
1022,19980,cg20083676,1.7748653010398716e-13,2.2523863425477,True,1.7733163276862366e-11,18742.0,sphingosine-1-phosphate receptor 3,cg20083676,3
1041,20426,cg20557202,1.8731706700211228e-11,3.2990384426000268,True,1.0858066947151976e-09,19164.0,solute carrier family 5 member 5,cg20557202,3
1054,20610,cg20744464,1.0417460138459324e-16,2.8831419037371084,True,2.7002842902293242e-14,19341.0,melanotransferrin,cg20744464,3
1073,20943,cg21062347,8.700861121766465e-10,2.0251968384994727,True,3.003327389216776e-08,19659.0,solute carrier family 22 member 8,cg21062347,3
1076,21030,cg21145624,9.381105533421095e-25,2.7046740706164645,True,2.3432295966934362e-21,19743.0,Meis homeobox 3,cg21145624,3
1084,21139,cg21250978,5.534483554851261e-14,2.3234653767385773,True,6.640413543803199e-12,19844.0,protein kinase cAMP-dependent type II regulatory subunit beta,cg21250978,1
1097,21325,cg21429500,1.0996106122512692e-14,2.5491045124243694,True,1.5985662001172419e-12,20023.0,leucine aminopeptidase 3,cg21429500,2
1107,21474,cg21572316,7.819108692632114e-08,2.4327905710812585,True,1.458505298294365e-06,20166.0,ATP binding cassette subfamily A member 1,cg21572316,3
1108,21492,cg21589115,8.972098504162162e-12,2.0532458824912103,True,5.539716370794597e-10,20183.0,dickkopf like acrosomal protein 1,cg21589115,2
1111,21545,cg21633698,1.3919639251990485e-13,2.8459786168098744,True,1.4445127271229139e-11,20232.0,Thy-1 cell surface antigen,cg21633698,1
1118,21688,cg21784940,1.82228131396356e-09,2.2183792510604605,True,5.6447577657793436e-08,20366.0,replication initiator 1,cg21784940,1
1121,21736,cg21838334,2.271459818635146e-16,2.17782318076305,True,5.289036438713497e-14,20412.0,nestin,cg21838334,3
1123,21772,cg21880328,2.6317767964630212e-14,2.031173800713286,True,3.3790046382999054e-12,20447.0,cortactin binding protein 2,cg21880328,1
1138,21941,cg22061523,2.2274392032383183e-14,2.036044867262325,True,2.933712703649212e-12,20605.0,thymidine kinase 1,cg22061523,1
1143,22095,cg22198623,1.4585075263664808e-12,2.024163307625765,True,1.095390203924851e-10,20746.0,metallothionein 1G,cg22198623,2
1145,22119,cg22228205,1.6469923713067292e-12,2.0076545475442886,True,1.216472107366228e-10,20769.0,DDHD domain containing 1,cg22228205,2
1158,22622,cg22757447,9.452519409612064e-24,2.4188051050657275,True,1.8551244521321507e-20,21237.0,impact RWD domain protein,cg22757447,2
1180,23057,cg23178308,2.2656283617992546e-09,2.8335391771955054,True,6.825702288245211e-08,,,,3
1212,23567,cg23696886,6.241499550067107e-19,2.4964572674046948,True,3.118026211593524e-16,22116.0,PDZ and LIM domain 2,cg23696886,1
1228,23810,cg23941599,4.173357205487973e-19,2.049877991904992,True,2.248375736823285e-16,22344.0,fem-1 homolog C,cg23941599,2
1246,24061,cg24208206,1.737230437847905e-14,2.4283005272521354,True,2.3811703436264343e-12,22579.0,FYVE and coiled-coil domain containing 1,cg24208206,3
1248,24164,cg24322623,5.638018601205338e-20,2.7272050235666008,True,3.44244886859373e-17,22677.0,myogenic differentiation 1,cg24322623,3
1257,24288,cg24429836,3.324889710698312e-17,3.5295033724602023,True,1.0622636010598468e-14,22792.0,lactate dehydrogenase D,cg24429836,1
1261,24317,cg24450631,1.6295698957174803e-10,2.3300281628323765,True,6.952494169989672e-09,22819.0,insulin like growth factor 2 mRNA binding protein 2,cg24450631,0
1314,25358,cg25462291,4.1336793295974235e-09,2.388586960807529,True,1.1660880211500905e-07,23791.0,hes related family bHLH transcription factor with YRPW motif like,cg25462291,2
1315,25410,cg25505610,2.995005739118923e-22,2.75601512701296,True,3.165029911078136e-19,23843.0,eukaryotic translation initiation factor 3 subunit M,cg25505610,2
1317,25422,cg25514503,1.1139823785414134e-09,2.1252147775516685,True,3.687684317205286e-08,23855.0,period circadian regulator 3,cg25514503,1
1333,25670,cg25787984,6.1457437034521475e-12,2.43941791600318,True,3.9825578772653585e-10,24090.0,dickkopf WNT signaling pathway inhibitor 3,cg25787984,1
1347,25992,cg26113512,9.306272537087808e-17,4.500924319306575,True,2.4825159633885884e-14,24381.0,villin like,cg26113512,3
1348,26005,cg26128092,9.433170288792157e-13,2.7306968787660915,True,7.578531779381676e-11,24394.0,"WD repeat containing, antisense to TP73",cg26128092,3
1354,26175,cg26284390,4.235740219272343e-15,2.412254572932629,True,6.845952839101583e-13,24557.0,NFKB inhibitor zeta,cg26284390,3
1356,26248,cg26363196,1.71063252566165e-12,2.153039354324413,True,1.2567203014727138e-10,24625.0,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",cg26363196,2
1358,26272,cg26388152,2.6047972013298938e-14,2.0253056292624767,True,3.360066098767144e-12,24647.0,coronin 6,cg26388152,2
1372,26590,cg26728422,1.884964861457574e-12,2.1595343453167715,True,1.3774280461012847e-10,24951.0,unk like zinc finger,cg26728422,1
1376,26659,cg26790059,1.1720176335849335e-15,2.6315642414779994,True,2.3167162949913404e-13,25016.0,fibronectin type III domain containing 9,cg26790059,1
1394,27020,cg27181079,7.3892238706098645e-09,2.3075661122991424,True,1.9207787612949538e-07,25357.0,"mago homolog B, exon junction complex subunit",cg27181079,0
1397,27050,cg27210390,3.2488824043126997e-16,2.468245846728622,True,7.31690925745047e-14,25384.0,target of myb1 like 1 membrane trafficking protein,cg27210390,1
1399,27083,cg27243140,7.479794509609284e-17,2.295031318311243,True,2.075907413596209e-14,25415.0,otopetrin 3,cg27243140,3
1408,27259,cg27426707,6.741156235432295e-29,3.0428083588495127,True,4.630500218118443e-25,,,,3
1412,27321,cg27494383,1.4788668435455349e-12,2.5512987864037098,True,1.1041669943819869e-10,25638.0,leukocyte receptor tyrosine kinase,cg27494383,2
1414,27344,cg27519140,6.480826019668245e-14,2.0474368245420203,True,7.642368056498055e-12,25661.0,ribonuclease P/MRP subunit p21,cg27519140,1
1415,27353,cg27529628,2.772343044994771e-31,3.3910001028222467,True,7.617289750427633e-27,25669.0,growth arrest specific 2 like 3,cg27529628,2
1416,27355,cg27532722,4.771965462850153e-11,2.0472577824940674,True,2.4460822995199306e-09,25671.0,matrix metallopeptidase 11,cg27532722,1
1419,27450,cg27635271,7.92417137789068e-25,2.34506882789016,True,2.1772453277892436e-21,25765.0,sorting nexin 33,cg27635271,1
